"Equipment","Description","Status"
"26-1209","2025 Ford F-250 XL","inactive"
"26-1210","2025 Ford F-250 XL","inactive"
"26-1211","2025 Ford F-250 XL","inactive"
"26-1212","Peterbilt Winch Tractor","inactive"
"26-1213","2018 Chevrolet Silverado 2500","inactive"
"26-1214","2025 Ford F-150 XLT","inactive"
"26-1215","2025 Ford F-150 XLT","inactive"
"26-1506","CAT 216 Skid Steer","inactive"
"26-1508","2016 CAT 316 Excavator","inactive"
"26-1510","2016 CAT 316EL Excavator","inactive"
"26-1511","2016 CAT 316EL Excavator","inactive"
"26-1512","CAT D6NXL Dozer","inactive"
"26-1515","John Deere 700HXLT","inactive"
"26-1516","CAT D6NXL Dozer","inactive"
"26-1517","John Deere 700K LGP","inactive"
"26-0651","Cuttings Tub Rig 26-0251","inactive"
"26-0652","Pipe Tub from Chisler Bros","inactive"
"26-0653","Pipe Tub from Chisler Bros","inactive"
"26-0654","Pipe Tub from Chisler Bros","inactive"
"26-0700","Magnum Pro 45KVA Generator","inactive"
"26-0701","Magnum Pro 45KVA Generator","inactive"
"26-0705","Triplex Pump # 1","inactive"
"26-0706","Triplex Pump # 2","inactive"
"26-0707","Triplex Pump # 3","inactive"
"26-0708","Triplex Pump #4","inactive"
"26-0709","Triplex Pump #5","inactive"
"26-0710","Triplex Pump #6","inactive"
"26-0713","Atlas-Copcp - RD20 2007","inactive"
"26-0715","Finn B70 Straw Blower","inactive"
"26-0717","Finn B70 Strawblower","inactive"
"26-1518","CAT 316FL Excavator","inactive"
"26-1519","CAT 316FL Excavator","inactive"
"26-1521","CAT D6NXL w/Winch","inactive"
"26-1522","CAT D6NXL w/Winch","inactive"
"26-1523","CAT 316FL Excavator","inactive"
"26-1524","CAT 316FL Excavator","inactive"
"26-1525","CAT 289D Track Skid Steer","inactive"
"26-1526","CAT 289D Track Skid Steer","inactive"
"26-1534","IHI IC50 Personell Carrier","inactive"
"26-1538","CAT D6NXL Dozer w/ winch","inactive"
"26-1539","CAT 316FL Excavator","inactive"
"26-1542","CAT 316FL Excavator","inactive"
"26-1543","CAT 317GC Excavator","inactive"
"26-1544","CAT 317GC Excavator","inactive"
"26-1545","Genie 10K Telehendler","inactive"
"26-0719","Fishing Tools","inactive"
"26-0721","Triplex Pump TT560","inactive"
"26-0722","Triplex Pump TT560","inactive"
"26-0728","Hydraulic Power Tongs","inactive"
"26-0730","Water Tank - Rig 234","inactive"
"26-0733","BJ Type ""C"" Tongs","inactive"
"26-0735","Triplex Pump Package TT-560","inactive"
