"Row_ID","Accounting_Date","Amount","Date_Stamp","Description","JC_Transaction_Type","Transaction_Date","Unit_Cost","Units","Cost_Code","Job","Unique_Job_Number"
"3287","2026-01-10","232.5","2026-01-29","Granulated Sugar 25lb Bag","IV Cost","2026-01-10","23.25","10","57-9000","07009-26-01","07009-26-01-job"
"3295","2026-01-18","93","2026-01-29","Granulated Sugar 25lb Bag","IV Cost","2026-01-18","23.25","4","57-9000","07254-26-01","07254-26-01-job"
"3303","2026-01-24","93","2026-01-29","Granulated Sugar 25lb Bag","IV Cost","2026-01-24","23.25","4","57-9000","07238-26-01","07238-26-01-job"
"4417","2026-01-05","325.6","2026-01-31","DT-EPIC2-110-R140 Stratx, EPIC Gen 2V Detonator Module, R140","IV Cost","2026-01-05","32.56","10","54-8400","07241-26-01","07241-26-01-job"
"5339","2026-02-03","381","2026-02-04","Air Hose yellow Gorilla 3/4 500psi","IV Cost","2026-02-03","5.08","75","47-0250","07147-26-01","07147-26-01-job"
"5368","2026-02-03","1104","2026-02-05","Liner 5"" TT560 Tulsa 4001034","IV Cost","2026-02-03","368","3","58-4000","07223-26-01","07223-26-01-job"
"5494","2026-02-03","19.28","2026-02-04","BREAK CLEANER RED CAN","IV Cost","2026-02-03","4.82","4","47-0810","07201-26-01","07201-26-01-job"
"5563","2026-02-03","119.82","2026-02-04","Dawn Pro 5 gal","IV Cost","2026-02-03","59.91","2","49-0810","07229-26-01","07229-26-01-job"
"5642","2026-02-03","9.68","2026-02-04","2 X 3 XH BLK NIPPLE","IV Cost","2026-02-03","4.84","2","49-0810","07229-26-01","07229-26-01-job"
"5674","2026-02-03","210","2026-02-04","Rig Mat Spiilfyter M-151 poly backed 57x80","IV Cost","2026-02-03","210","1","58-4000","07213-26-01","07213-26-01-job"
"5753","2026-02-03","3692.1","2026-02-04","DRILL PIPE 3.5OD 13.30# DBL WHITE BAND DRILL PIPE","IV Cost","2026-02-03","7.94","465","47-0600","07222-26-01","07222-26-01-job"
"5804","2026-02-03","48.51","2026-02-04","Blade 44 7/8""x1/2""x.020"" 14TPI Morse ZWEP4418MC","IV Cost","2026-02-03","16.17","3","47-0810","07226-26-01","07226-26-01-job"
"5894","2026-02-03","34.56","2026-02-04","Drinking water 16.9 oz bottle","IV Cost","2026-02-03","4.32","8","47-0250","07212-26-01","07212-26-01-job"
"5990","2026-02-03","17","2026-02-04","RAGS (BAG) 10LB t-shirt","IV Cost","2026-02-03","8.5","2","47-0810","07147-26-01","07147-26-01-job"
"6029","2026-02-03","221.85","2026-02-04","Packing 560-680 Pony Rod 5001085","IV Cost","2026-02-03","24.65","9","58-4000","07234-26-01","07234-26-01-job"
"6511","2026-02-04","397.8","2026-02-05","Bolt tension assy Shaker Screen","IV Cost","2026-02-04","66.3","6","47-0810","07211-26-01","07211-26-01-job"
"6542","2026-02-04","47.5","2026-02-05","WD-40 11 oz Spray Can","IV Cost","2026-02-04","9.5","5","48-0810","07241-26-01","07241-26-01-job"
"6717","2026-02-04","7.42","2026-02-05","3/4 X 6 XH BLK NIPPLE","IV Cost","2026-02-04","3.71","2","48-0810","07241-26-01","07241-26-01-job"
"6754","2026-02-04","106","2026-02-05","OIL SOAKS (DIAPERS) BAG","IV Cost","2026-02-04","26.5","4","47-0810","07233-26-01","07233-26-01-job"
"7169","2026-02-05","25.56","2026-02-06","Flourscent Red paint stick","IV Cost","2026-02-05","2.13","12","58-4000","07257-26-01","07257-26-01-job"
"7262","2026-02-05","222","2026-02-06","3/8 Winch Line x 120'","IV Cost","2026-02-05","222","1","58-4000","07232-26-01","07232-26-01-job"
"7355","2026-02-05","1907.98","2026-02-06","Class L API Oilwell Bulk Cement","IV Cost","2026-02-05","237.4","8.037","57-9000","07009-26-01","07009-26-01-job"
"7372","2026-02-05","1584.41","2026-02-06","Class L API Oilwell Bulk Cement","IV Cost","2026-02-05","237.4","6.674","57-9000","07238-26-01","07238-26-01-job"
"7399","2026-02-05","17","2026-02-06","RAGS (BAG) 10LB t-shirt","IV Cost","2026-02-05","8.5","2","47-0810","07211-26-01","07211-26-01-job"
"7499","2026-02-05","7.65","2026-02-06","3"" Alum Male Adapter x Male NPT","IV Cost","2026-02-05","7.65","1","47-4111","07233-26-01","07233-26-01-job"
"7627","2026-02-05","68.22","2026-02-06","shackle 1""","IV Cost","2026-02-05","68.22","1","51-0810","07262-26-01","07262-26-01-job"
"7803","2026-02-06","8.5","2026-02-07","Tape Electrical 3/4"" Wide","IV Cost","2026-02-06",".85","10","47-0810","07232-26-01","07232-26-01-job"
"7865","2026-02-06","34.44","2026-02-07","RV & Marine Antifreeze -75","IV Cost","2026-02-06","5.74","6","58-4000","07171-26-01","07171-26-01-job"
"8644","2026-02-06","174.7","2026-02-07","SAFETY GAS CAN 5 gal","IV Cost","2026-02-06","87.35","2","47-0810","07198-26-01","07198-26-01-job"
"10604","2026-02-11","62.94","2026-02-12","NAPA ANTI FREEZE (1 gal)","IV Cost","2026-02-11","10.49","6","48-0810","07221-26-01","07221-26-01-job"
"10635","2026-02-11","106","2026-02-12","OIL SOAKS (DIAPERS) BAG","IV Cost","2026-02-11","26.5","4","47-0810","07147-26-01","07147-26-01-job"
"10788","2026-02-11","414.08","2026-02-12","Glove Metacarpal Lg","IV Cost","2026-02-11","12.94","32","47-0250","07236-26-01","07236-26-01-job"
"10825","2026-02-11","17.28","2026-02-12","SHADED SAFETY GLASSES","IV Cost","2026-02-11","1.44","12","48-0250","07221-26-01","07221-26-01-job"
"11549","2026-02-12","34.56","2026-02-13","CLEAR SAFETY GLASSES","IV Cost","2026-02-12","1.44","24","47-0250","07230-26-01","07230-26-01-job"
"12600","2026-02-13","86.4","2026-02-14","Wire Rope 9/16""  6x25","IV Cost","2026-02-13","2.88","30","48-0810","07257-26-01","07257-26-01-job"
"12789","2026-01-01","89.43","2026-02-15","DET-3050-009-LS, DET ASSY FOR EXPLOSICE BOLTS","IV Cost","2026-01-01","89.43","1","54-8400","07245-26-01","07245-26-01-job"
"12791","2026-01-05","32.56","2026-02-15","DT-EPIC2-110-R140 Stratx, EPIC Gen 2V Detonator Module, R140","IV Cost","2026-01-05","32.56","1","54-8400","07245-26-01","07245-26-01-job"
"12799","2026-01-06","32.56","2026-02-15","DT-EPIC2-110-R140 Stratx, EPIC Gen 2V Detonator Module, R140","IV Cost","2026-01-06","32.56","1","54-8400","07250-26-01","07250-26-01-job"
