"Sage_ID","Invoice_Sage_ID","Parent_Invoice_Sage_ID","Job","Unique_Job","Cost_Code","Activity_Status","Activity_Date","Transaction_Date","Amount","Vendor_Sage_ID","Expense_Account","Description"
"7615","8298","2563","07242-26-01","07242-26-01-job","58-4000","","1/6/2026","1/6/2026","4252","V-000309","50300","EQUIP HAULING"
"7633","3518","2572","07211-26-01","07211-26-01-job","47-0600","","12/31/2025","12/31/2025","600","V-000502","53000","HAULING POWER SWIVEL"
"7635","3521","2573","07242-26-01","07242-26-01-job","58-4000","","12/31/2025","12/31/2025","9325","V-000502","50300","EQUIP HAULING"
"7637","3522","2574","07242-26-01","07242-26-01-job","58-4000","","12/31/2025","12/31/2025","4125","V-000502","50300","EQUIP HAULING"
"7639","3524","2575","07231-26-01","07231-26-01-job","58-4000","","1/6/2026","1/6/2026","3575","V-000502","50300","MOVE RIG 11"
"7641","3525","2576","07234-26-01","07234-26-01-job","58-4000","","1/6/2026","1/6/2026","600","V-000502","50300","EQUIP HAULING"
"7643","3526","2577","07242-26-01","07242-26-01-job","58-4000","","1/6/2026","1/6/2026","3000","V-000502","50300","EQUIP HAULING"
"7647","194","2579","07254-26-01","07254-26-01-job","49-3000","","1/20/2026","1/20/2026","3790","V-000580","50100","RIG LABOR WE 011726"
"7655","193","2580","07254-26-01","07254-26-01-job","49-3000","","1/13/2026","1/13/2026","2005","V-000580","50100","RIG LABOR WE 011026"
"7661","192","2581","07114-26-01","07114-26-01-job","46-3000","","1/6/2026","1/6/2026","460","V-000580","50100","RIG LABOR WE 010326"
"7671","191","2582","07212-26-01","07212-26-01-job","47-3000","","12/29/2025","12/29/2025","2760","V-000580","50100","RIG LABOR WE 122725"
"7677","0000250725","2583","07212-26-01","07212-26-01-job","47-3000","","12/27/2025","12/27/2025","1146.12","V-000722","50100","RIG 713 LABOR 12/21-12/27"
"7679","0000250724","2584","07216-26-01","07216-26-01-job","48-3000","","12/27/2025","12/27/2025","1085.46","V-000722","50100","RIG 251 LABOR 12/21-12/27"
"7681","0000250723","2585","07220-26-01","07220-26-01-job","48-3000","","12/27/2025","12/27/2025","962.82","V-000722","50100","RIG249 LABOR 12/21-12/27"
"7687","0000250717","2588","07147-26-01","07147-26-01-job","47-3000","","12/27/2025","12/27/2025","2863.46","V-000722","50100","RIG 237 LABOR 12/21-12/27"
"7689","0000250711","2589","07224-26-01","07224-26-01-job","49-3000","","12/27/2025","12/27/2025","985.18","V-000722","50100","RIG 101 LABOR 12/21-12/27"
"7697","0000250722","2593","07194-26-01","07194-26-01-job","48-3000","","12/27/2025","12/27/2025","5662.16","V-000722","50100","RIG 248 LABOR 12/21-12/27"
"7699","0000250721","2594","07226-26-01","07226-26-01-job","47-3000","","12/30/2025","12/30/2025","2462.52","V-000722","50100","RIG 247 LABOR 12/21-12/27"
"7701","0000250720","2595","07234-26-01","07234-26-01-job","48-3000","","12/27/2025","12/27/2025","1299.42","V-000722","50100","RIG 243 LABOR 12/21-12/27"
"7703","0000250719","2596","07129-26-01","07129-26-01-job","47-3000","","12/27/2025","12/27/2025","983.48","V-000722","50100","RIG 242 LABOR 12/21-12/27"
"7705","0000250718","2597","07213-26-01","07213-26-01-job","47-3000","","12/27/2025","12/27/2025","1176.78","V-000722","50100","RIG 238 LABOR 12/21-12/27"
"7707","0000250716","2598","07203-26-01","07203-26-01-job","47-3000","","12/27/2025","12/27/2025","3438.36","V-000722","50100","RIG 220 LABOR 12/21-12/27"
"7709","0000250715","2599","07223-26-01","07223-26-01-job","47-3000","","12/27/2025","12/27/2025","2502.52","V-000722","50100","RIG 215 LABOR 12/21-12/27"
"7711","0000250714","2600","07211-26-01","07211-26-01-job","47-3000","","12/27/2025","12/27/2025","1207.44","V-000722","50100","RIG 214 LABOR 12/21-12/27"
"7713","0000250713","2601","07222-26-01","07222-26-01-job","47-3000","","12/27/2025","12/27/2025","2242.24","V-000722","50100","RIG 212 LABOR 12/21-12/27"
"7715","0000250712","2602","07250-26-01","07250-26-01-job","49-3000","","12/27/2025","12/27/2025","864.52","V-000722","50100","RIG 103 LABOR 12/21-12/27"
"7721","1011114","2605","07223-26-01","07223-26-01-job","58-4000","","12/8/2025","12/8/2025","2012.5","V-000750","50300","HAULED MATS AND PINS"
"7723","1011159","2606","07223-26-01","07223-26-01-job","58-5000","","12/21/2025","12/21/2025","826.57","V-000750","50300","HAULED 30 MATS"
"7727","1011160","2607","07223-26-01","07223-26-01-job","58-5000","","12/21/2025","12/21/2025","826.57","V-000750","50300","HAULED 45 MATS"
"7733","1011175","2609","07251-26-01","07251-26-01-job","58-1000","","1/8/2026","1/8/2026","790.63","V-000750","50300","HAULED 40 MATS AND PINS"
"7737","1011176","2611","07251-26-01","07251-26-01-job","58-1000","","1/8/2026","1/8/2026","359.38","V-000750","50300","HAULED 40 MATS"
