"Sage_ID","Vendor","Invoice_Date","Invoice","Vendor_Invoice_Number","Description","Amount"
"3945","V-000502","2025-12-31","EQUIP HAULING","Reversed - 3521","diamond incorrectly billed for 3521 3522 3526","-9325"
"3946","V-000502","2025-12-31","EQUIP HAULING","Reversed - 3522","diamond incorrectly billed for 3521 3522 3526","-4125"
"3947","V-000502","2026-01-31","EQUIP HAULING","Reversed - 3526","diamond incorrectly billed for 3521 3522 3526","-3000"
"8185","V-000656","2026-01-12","F4S SAFETY ADMIN SERVICES","8999602","F4S SAFETY ADMIN SERVICES","10396.49"
"8183","V-000656","2026-01-05","F4S SAFETY ADMIN SERVICES","8999601","F4S SAFETY ADMIN SERVICES","10789.8"
"8187","V-000656","2026-01-19","F4S SAFETY ADMIN SERVICES","8999603","F4S SAFETY ADMIN SERVICES","10396"
"8189","V-000656","2026-01-26","23-SDI","8999604","F4S SAFETY ADMIN SERVICES","10941.55"
"8384","V-001022","2025-10-22","CONSOL 5444","10911","CONSOL 5444","5770.75"
"8390","V-002238","2026-01-07","ELL WELD 2 IN STD LR 90","93541550","ELL WELD 2 IN STD LR 90","47.43"
"8388","V-002238","2025-10-30","MELT ICE 30LBS","3002706","MELT ICE 30LBS","300.5"
"8394","V-001011","2026-01-21","T14R BUMPER","1288984","T14R BUMPER","14000"
"8447","V-000136","2025-12-29","STONE","INV34041621","STONE","14690.24"
"8449","V-001331","2025-12-30","WATER HAULING","CDE123025A","WATER HAULING","625"
"8455","V-000502","2025-12-31","RIG 11 MNE FIRE","3520","RIG 11 MNE FIRE","1880"
"8453","V-000502","2025-12-31","TRUCKING","3519","TRUCKING","490"
"8451","V-002061","2025-12-31","PLUGGING JOHN A KEYS","3160","PLUGGING JOHN A KEYS","138315.71"
"8469","V-001133","2026-01-13","TONG DIE","4137505","TONG DIE","186"
"8509","V-000603","2025-12-08","TELEHANDLER RENTAL","PIT53536810006","TELEHANDLER RENTAL","4104.53"
"8465","V-000136","2026-01-12","26-CWS","INV34042346","STONE","4827.41"
"8457","V-001877","2026-01-01","LIGHT TOWER","247800039015","LIGHT TOWER","848"
"8459","V-001877","2026-01-05","LIGHT TOWER","253712954006","LIGHT TOWER","1696"
"8511","V-001877","2025-12-30","LIGHT TOWER","255673567003","LIGHT TOWER","6588"
"8513","V-001331","2026-01-06","26-CWS","CDE010626A","WATER HAULING","906.25"
"8515","V-000603","2026-01-05","TELEHANDLER RENTAL","PIT53536810007","TELEHANDLER RENTAL","4104.53"
"8461","V-000136","2026-01-09","STONE","INV34042196","STONE","713.61"
"8467","V-000951","2026-01-13","FLAPPER VALVE","3103075","FLAPPER VALVE","297.2"
"8475","V-002363","2026-01-15","PLUGGING SANCHIS 1129-1V","1500","PLUGGING SANCHIS 1129-1V","58618.23"
"8519","V-001877","2025-10-12","LIGHT TOWER","247966360006","LIGHT TOWER","1696"
"8527","V-000997","2025-10-31","SAWMILL TIMBER MATS","SMPR10312025","SAWMILL TIMBER MATS","6006"
"8537","V-002061","2025-12-31","plugging well 1135","3145","plugging well 1135","120172.68"
"8539","V-001877","2025-12-31","LIGHT TOWER","247841225009","LIGHT TOWER","5404"
"8679","V-001262","2025-12-30","CUT & DRY 100","6028","CUT & DRY 100","6302.5"
"8543","V-001877","2025-12-31","LIGHT TOWER","253712954005","LIGHT TOWER","9744.92"
"8541","V-001877","2025-12-31","LIGHT TOWER","247800039014","LIGHT TOWER","3052.32"
"8525","V-000997","2025-10-31","26-CWS","SMPR14740","SAWMILL TIMBER MATS","17106.38"
"8523","V-001022","2025-10-24","CONSOL 648","10905","CONSOL 648","11958.3"
"8521","V-001637","2025-10-18","SMALL STONE","101573","SMALL STONE","4240"
"8697","V-000969","2025-12-31","FISHING TOOLS","1418357","FISHING TOOLS","1673.1"
"8551","V-002029","2026-01-12","FUEL","26557774","FUEL","7234.13"
"8677","V-000804","2025-12-28","ASSISTING RIG ","611","ASSISTING RIG ","8738"
"8620","V-001069","2025-12-20","LIME/OTC/FROSTY RYE","1842A","LIME/OTC/FROSTY RYE","1795.95"
"8622","V-001435","2025-12-22","LODGING-D.HELMICK","79822269","LODGING-D.HELMICK","621.6"
"8607","V-001069","2025-12-12","LIME/FIELD FERTILIZER","1796A","LIME/FIELD FERTILIZER","1253.3"
"8613","V-000475","2025-12-17","WATER HAULING","007295","WATER HAULING","825"
"8673","V-001697","2025-12-23","TIMBER MAT RENTAL ","INV032718","TIMBER MAT RENTAL ","308"
"8609","V-001435","2025-12-12","LODGING-D.HALL","79718885","LODGING-D.HALL","444"
"8685","V-002335","2025-12-31","DISPOSAL ","64809251","DISPOSAL ","375.26"
"8703","V-000969","2025-12-31","26-CWS","1419029","FISHING TOOLS","973.44"
"8615","V-000475","2025-12-17","WATER HAULING","007294","WATER HAULING","1475"
"8557","V-000396","2026-01-15","PERMITS","UL01498318","PERMITS","679.72"
"8675","V-001115","2025-12-26","LODGING-B.BURKHULDER","10028023675","LODGING-B.BURKHULDER","471.75"
"8681","V-001995","2025-12-31","WELDING LABOR","7840612","WELDING LABOR","1308"
"8701","V-001262","2025-12-31","CUT & DRY 100","6031","CUT & DRY 100","6302.5"
"8595","V-002363","2026-01-29","GVB 9-1","1504","GVB 9-1","133847.5"
"8549","V-001011","2026-01-09","T14 EQUIPMENT RENTAL","1286752","T14 EQUIPMENT RENTAL","14000"
"8559","V-002061","2026-01-15","GVB 9-3","3179","GVB 9-3","64412.5"
"8565","V-001011","2026-01-19","26-CWS","1288320","T14 RENTAL","-9333.33"
"8699","V-000969","2025-12-31","FISHING TOOLS","1418974","FISHING TOOLS","12621.04"
"8869","V-000157","2025-12-22","BOP RIG 238 JOB 7180","34496","BOP RIG 238 JOB 7180","27623"
"8871","V-000969","2025-12-31","FISHING TOOLS","1418959","FISHING TOOLS","51228.12"
"8855","V-000978","2025-12-20","SUPER VAC RENTAL","0753563301","SUPER VAC RENTAL","5950"
"8865","V-001702","2025-12-30","FUEL TANK-RIG 251 JOB 7216","2120625","FUEL TANK-RIG 251 JOB 7216","1117.83"
"9040","V-000271","2026-01-08","HOT SHOT CHARGE","795000","HOT SHOT CHARGE","777.21"
"8841","V-000157","2025-12-04","BOP RIG 250 JOB 7188","34397","BOP RIG 250 JOB 7188","19816"
"9291","V-000136","2026-01-14","STONE","INV34042563","STONE","7543.52"
"8851","V-000157","2025-12-19","26-CWS","34470","BOP RIG 238 JOB 7180","1315"
"8843","V-000157","2025-12-04","BOP RIG 221 JOB 7156","34414","BOP RIG 221 JOB 7156","22252"
"8849","V-001702","2025-12-18","FUEL TANK-RIG 713 JOB 7212","2103946","FUEL TANK-RIG 713 JOB 7212","4272.18"
"8863","V-001702","2025-12-29","FUEL TANK-RIG 248 JOB 7194","2116627","FUEL TANK-RIG 248 JOB 7194","724.05"
"8873","V-000978","2025-12-31","SUPER VAC RENTAL","0753577501","SUPER VAC RENTAL","8975.48"
"8875","V-001262","2025-12-31","HAULED SHOES, MILL,WASHOUT PIPE","6033","HAULED SHOES, MILL,WASHOUT PIPE","800"
"8845","V-000157","2025-12-10","26-CWS","34441","RIG 14 JOB 7114","900"
"8861","V-000804","2025-12-28","WORKING ON SITE","615","WORKING ON SITE","3992"
"8859","V-000978","2025-12-20","26-CWS","0753574301","DIESEL SUPER VAC RENTAL","7000"
"8847","V-001168","2025-12-16","DAILY ENGINE REPORT LOGS","130352","DAILY ENGINE REPORT LOGS","990.04"
"8853","V-000157","2025-12-19","BOP RIG 713 JOB 7212","34471","BOP RIG 713 JOB 7212","18952"
"8857","V-000978","2025-12-20","DIESEL SUPER VAC RENTAL","0753574001","DIESEL SUPER VAC RENTAL","7250"
"8867","V-000566","2025-12-31","COMPOSITE MAT RENTAL","20250481","COMPOSITE MAT RENTAL","3008"
"9011","V-001262","2026-01-07","HYDROGEL PLUS ","6048","HYDROGEL PLUS ","973"
"9112","V-000259","2026-01-09","FRANK TANK RENTAL","1231FROG","FRANK TANK RENTAL","1220"
"9080","V-001702","2026-01-09","FUEL TANK-RIG 248 JOB 7194","2136758","FUEL TANK-RIG 248 JOB 7194","1049.82"
"9388","V-001207","2026-01-19","26-CWS","MM2962","WASTE DISPOSAL ","1398.14"
"8998","V-002269","2026-01-06","FUEL TANK-RIG 238 JOB 7147","288108246","FUEL TANK-RIG 238 JOB 7147","2804.99"
"9124","V-001702","2026-01-11","FUEL TANK-RIG 102 JOB 7187","2140261","FUEL TANK-RIG 102 JOB 7187","1008.8"
"9072","V-001702","2026-01-08","FUEL TANK-RIG 249 JOB 7241","2135139","FUEL TANK-RIG 249 JOB 7241","1101.87"
"8990","V-001702","2026-01-06","FUEL TANK-RIG248 JOB 7194","2131040","FUEL TANK-RIG248 JOB 7194","1080.8"
"9016","V-000640","2026-01-07","NIPPLE-PIPE","93541766","NIPPLE-PIPE","41.29"
"9067","V-001697","2026-01-08","26-CWS","INV032919","TIMBER MAT RENTAL ","651"
"9325","V-000190","2026-01-15","WASTE DISPOSAL ","BSC28941","WASTE DISPOSAL ","4164.42"
"8966","V-000804","2026-01-04","WORKING ON SITE","617","WORKING ON SITE","2086"
"9375","V-001331","2026-01-19","HAULED DRILLMUD/WATER","CDE011926A","HAULED DRILLMUD/WATER","2250"
"9332","V-001331","2026-01-15","HAULED DRILL MUD","CDE011526B","HAULED DRILL MUD","3625"
"9400","V-002081","2026-01-19","HAULED SWIVEL ","T12310","HAULED SWIVEL ","855"
"9404","V-000679","2026-01-19","FUEL TANK-RIG 101 JOB 7255","133895","FUEL TANK-RIG 101 JOB 7255","4120.5"
"9056","V-000190","2026-01-08","WASTE DISPOSAL ","BSC28801","WASTE DISPOSAL ","11931.73"
"9312","V-001675","2026-01-15","LODGING-G.MARKS","8908","LODGING-G.MARKS","311.88"
"9444","V-001348","2026-01-20","POWER TONG","193769","POWER TONG","468.5"
"9482","V-000136","2026-01-20","STONE","INV34042776","STONE","1300.21"
"9451","V-002146","2026-01-20","26-CWS","2600060","RIG MOVE ","5768.1"
"9490","V-000190","2026-01-20","WASTE DISPOSAL ","BSC29038","WASTE DISPOSAL ","2019.19"
"9340","V-000679","2026-01-16","FUEL TANK-RIG 250 JOB 7254","134078","FUEL TANK-RIG 250 JOB 7254","3027.13"
"9129","V-001331","2026-01-12","HAULED WATER AND DRILL MUD","CDE011226A","HAULED WATER AND DRILL MUD","1218.75"
"9274","V-001331","2026-01-13","HAULED WATER","CDE011326B","HAULED WATER","1812.5"
"9278","V-000823","2026-01-14","HOT WATER/CALCIUM","5302","HOT WATER/CALCIUM","2050"
"9088","V-000969","2026-01-09","FISHING TOOLS","1419228","FISHING TOOLS","3976.6"
"9142","V-001995","2026-01-13","WELDING LABOR ","8336212","WELDING LABOR ","950"
"9336","V-001702","2026-01-15","FUEL TANK-RIG 102 JOB 7187","2148553","FUEL TANK-RIG 102 JOB 7187","1091.93"
"9349","V-000904","2026-01-16","DELIVERED SKID STEER ","70737","DELIVERED SKID STEER ","632.5"
"8962","V-000815","2026-01-01","LODGING-W.BARKER","13997","LODGING-W.BARKER","946.83"
"9364","V-001331","2026-01-16","HAULED DRILL MUD","CDE011626A","HAULED DRILL MUD","4500"
"9407","V-000679","2026-01-19","FUEL TANK-RIG 250 JOB 7254","134136","FUEL TANK-RIG 250 JOB 7254","1697.21"
"9430","V-001262","2026-01-19","HAULED CAT SKID STEER","6111","HAULED CAT SKID STEER","431.25"
"9316","V-001675","2026-01-15","26-CWS","8907","LODGING-D.MCCOWIEN","311.88"
"9345","V-000679","2026-01-16","FUEL TANK-RIG 103 JOB 7250","133893","FUEL TANK-RIG 103 JOB 7250","1549.63"
"9392","V-001207","2026-01-19","MATERIAL DISPOSAL ","MM2963","MATERIAL DISPOSAL ","1755.36"
"9434","V-001348","2026-01-20","DIE TONG","193768","DIE TONG","1251.86"
"8970","V-001697","2026-01-05","CRANE MAT","INV032834","CRANE MAT","2108"
"9265","V-000157","2026-01-13","RIG 238 JOB 7213","34518","RIG 238 JOB 7213","810"
"9281","V-000679","2026-01-14","FUEL TANK-RIG 103 JOB 7250","133474","FUEL TANK-RIG 103 JOB 7250","1662.15"
"9478","V-000136","2026-01-20","STONE","INV34042803","STONE","5061.86"
"9084","V-000969","2026-01-09","FISHING TOOLS","1419200","FISHING TOOLS","13706.28"
"9367","V-001331","2026-01-18","HAULED WATER","CDE011826A","HAULED WATER","6500"
"9285","V-000679","2026-01-14","FUEL TANK-RIG 103 JOB 7250","133491","FUEL TANK-RIG 103 JOB 7250","372.97"
"9064","V-001262","2026-01-08","HYDROGEL PLUS ","6051","HYDROGEL PLUS ","973"
"9120","V-000804","2026-01-11","HAULED LIME","620","HAULED LIME","1250"
"8987","V-001702","2026-01-05","FUEL TANK-RIG 713 JOB 7212","2120875","FUEL TANK-RIG 713 JOB 7212","3367.26"
"9061","V-001262","2026-01-08","HYDROGEL PLUS ","6050","HYDROGEL PLUS ","1223"
"9104","V-002238","2026-01-09","COUPLING-CORRUG","93542208","COUPLING-CORRUG","46.26"
"9304","V-002238","2026-01-14","HANDLE-FLEX","93547738","HANDLE-FLEX","258.37"
"9258","V-001702","2026-01-13","FUEL TANK-RIG 713 JOB 7212","2144381","FUEL TANK-RIG 713 JOB 7212","3651.39"
"9007","V-001715","2026-01-07","26-CWS","1760738700003","GENERATOR FUEL ","157.5"
"9371","V-001995","2026-01-18","WELDING LABOR ","8340712","WELDING LABOR ","760"
"9439","V-001348","2026-01-20","PIN RETAINER","193767","PIN RETAINER","919.9"
"9329","V-001331","2026-01-15","HAULED DRILL MUD","CDE011526A","HAULED DRILL MUD","3218.75"
"9379","V-001560","2026-01-19","MOVED PIPE TUB-RIG 251","4704364","MOVED PIPE TUB-RIG 251","840"
"9137","V-001995","2026-01-12","TERRY D.LITZELMAN A","8336112","TERRY D.LITZELMAN A","950"
"9101","V-001262","2026-01-09","HAULED GENERATOR","6059","HAULED GENERATOR","287.5"
"9133","V-001331","2026-01-12","HAULED DRILL MUD","CDE011226B","HAULED DRILL MUD","3875"
"9261","V-001702","2026-01-13","26-CWS","2145029","FUEL TANK-RIG 238 JOB 7213","1191.14"
"9359","V-000190","2026-01-16","WASTE DISPOSAL ","BSC28940","WASTE DISPOSAL ","7744.47"
"9396","V-001237","2026-01-19","STONE","10736","STONE","1092.5"
"9474","V-001135","2026-01-20","SAFETY FENCE/CABLE TIE","512469","SAFETY FENCE/CABLE TIE","210.89"
"9002","V-000028","2026-01-06","HOT WATER/ YARD","31671","HOT WATER/ YARD","2390"
"9093","V-000969","2026-01-09","FISHING TOOLS","1419309","FISHING TOOLS","1159.2"
"9416","V-000679","2026-01-19","FUEL TANK-RIG 103JOB 7250","134137","FUEL TANK-RIG 103JOB 7250","928.24"
"9425","V-001439","2026-01-19","PORTA JOHN RENTAL JOB 7202","I7611","PORTA JOHN RENTAL JOB 7202","291.5"
"9270","V-001331","2026-01-13","HAULED DRILL MUD","CDE011326A","HAULED DRILL MUD","6250"
"9308","V-001237","2026-01-14","TAILGATED STONE","10704","TAILGATED STONE","2127.5"
"8974","V-001262","2026-01-05","CITRIC ACID/BICARBONATE OF SODA","6044","CITRIC ACID/BICARBONATE OF SODA","3337.2"
