"Job","Well","Description","County","Unique_Job","Record_Type_Name","Status","AR_Customer","WorkTypeId"
"07193-26-01","MISC RENO WIRELINE","MISC RENO WIRELINE","","07193-26-01-job","Job","inactive","C000067","08qVb000000CfU4IAK"
"07109-26-01","MATT-WATER HAULING","MATT-WATER HAULING","","07109-26-01-job","Job","inactive","C000082","08qVb000000CfU4IAK"
"07272-26-01","COP TRACT 29 #1","COP TRACT 29 #1","","07272-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07140-26-01","1043","1043","","07140-26-01-job","Job","inactive","C000128","08qVb000000CfU4IAK"
"07273-26-01","EQT KEY RING MISC CHARGES","EQT KEY RING MISC CHARGES","","07273-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07310-26-01","1662","1662","","07310-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07312-26-01","LARRYS CREEK A 6H","LARRYS CREEK A 6H","","07312-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07313-26-01","WW LITKE A 6H","WW LITKE A 6H","","07313-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07311-26-01","YB-1 PIPELINE","YB-1 PIPELINE","","07311-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07307-26-01","GH-90","GH-90","","07307-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07308-26-01","GH-88","GH-88","","07308-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07309-26-01","GH-87","GH-87","","07309-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07332-26-01","FLETCHER 1","FLETCHER 1","","07332-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07333-26-01","8254","8254","","07333-26-01-job","Job","active","C000066","08qVb000000CfU4IAK"
"07335-26-01","7391","7391","","07335-26-01-job","Job","active","C000065","08qVb000000CfU4IAK"
"07334-26-01","7387","7387","","07334-26-01-job","Job","active","C000065","08qVb000000CfU4IAK"
"07337-26-01","M-1842","M-1842","","07337-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07336-26-01","M-1831","M-1831","","07336-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07267-26-01","3691","3691","","07267-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07270-26-01","GH-83","GH-83","","07270-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07271-26-01","MARY E GARY #1","MARY E GARY #1","","07271-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07269-26-01","GH-24","GH-24","","07269-26-01-job","Job","active","C000085","08qVb000000CfU4IAK"
"07268-26-01","429","429","","07268-26-01-job","Job","active","C000083","08qVb000000CfU4IAK"
"07282-26-01","MISC H&K TRUCKING","MISC H&K TRUCKING","","07282-26-01-job","Job","active","C000011","08qVb000000CfU4IAK"
"07264-26-01","MD-31","MD-31","","07264-26-01-job","Job","active","C000066","08qVb000000CfU4IAK"
"07266-26-01","M-1927","M-1927","","07266-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07265-26-01","GVB 9-2B","GVB 9-2B","","07265-26-01-job","Job","active","C000083","08qVb000000CfU4IAK"
"07306-26-01","877","877","","07306-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07305-26-01","CHARLEROI MRN CLUB #2019","CHARLEROI MRN CLUB #2019","","07305-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07331-26-01","M-1830","M-1830","","07331-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07303-26-01","1661/1661A","1661/1661A","","07303-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07304-26-01","10-3 GVB","10-3 GVB","","07304-26-01-job","Job","active","C000082","08qVb000000CfU4IAK"
"07299-26-01","8265","8265","","07299-26-01-job","Job","active","C000066","08qVb000000CfU4IAK"
"07301-26-01","GH 109 PG","GH 109 PG","","07301-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07300-26-01","8269","8269","","07300-26-01-job","Job","active","C000066","08qVb000000CfU4IAK"
"07302-26-01","GH 109 SW","GH 109 SW","","07302-26-01-job","Job","active","C000086","08qVb000000CfU4IAK"
"07329-26-01","6S6E-2","6S6E-2","","07329-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07319-26-01","POWEL MISC WIRELINE","POWEL MISC WIRELINE","","07319-26-01-job","Job","active","","08qVb000000CfU4IAK"
"07323-26-01","IS1-10000-04","IS1-10000-04","","07323-26-01-job","Job","active","C000052","08qVb000000CfU4IAK"
"07320-26-01","GH-81","GH-81","","07320-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07325-26-01","6N5E-1B","6N5E-1B","","07325-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07322-26-01","GH-1","GH-1","","07322-26-01-job","Job","active","C000084","08qVb000000CfU4IAK"
"07327-26-01","6N6E-3","6N6E-3","","07327-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
"07330-26-01","6S6E-3","6S6E-3","","07330-26-01-job","Job","active","C000067","08qVb000000CfU4IAK"
